variety,date_submit,date_complete,reference_dec,defects2,defects3,defects4,defects5,defects6,defects7,defects8,defects9,defects10,defects11,defects12,defects13,defects14,decfile_ver,decfile_type,NOTES
pink_lady,2025-12-08,26/08/2025,2965,russets Net,san_jose(clean),sunburn(clean),calyx_minor,sunburn,san_jose,punctures,sunburn_major,insect,,,,,O015,PinkLadyPLAU_PerformanceGoodLot,
bravo,14/08/2025,24/09/2025,2970,shrivel,crack_calyx,holes major,sunburn,crack_stem(leaf),green(clean),russets_stem(clean),russets_stem(clean),san_jose(clean),decay,sunburn(clean),browning,leaf,J011,BravoPLAU_PerformMM,
gala,2025-08-14,2025-09-10,2971,shrivel,decay(leaf),decay(clean),leaf(russets),leaf(clean),holes_major,hails,,,,,,,O004,BlushPLAU_PerformSundown,
kanzi,2025-08-20,2026-03-10,2973,russets_stem(clean),decay(leaf),leaf(clean),browning,crack_stem(clean),,,,,,,,,N001,KanziPLAU_PerformanceGoodLot,
packham,2025-09-08,2025-11-26,3016,sunburn,scald,shrivel,major,holes_major,decay,decay_major,decay_stem,bruises,sooty_mold,,,,O011,PearPLAU_Performance,
pink_lady,2025-10-09,22/10/2025,3028,russets_stem(clean),leaf(decay),hails,Injury (leaf),sunburn_major,decay_dark,,,,,,,,O019,PinkLadyPLAU_PerformanceGoodLot,
rico,2025-09-24,2025-12-09,3064,decay,decay(leaf),bruises,shrivel,,soft,,,,,,,,F005,RicoPearPLAU_Performance,
bravo,2025-10-10,2025-11-27,3111,shrivel,,,,,,,,,,,,,J013,BravoPLAU_PerformMM,
granny_smith,14/10/2025,18/02/2026,3118,hails,bitterpit_minor,,Little spot,decay(clean),decay(leaf),decay,decay(bitterpit),,,,,,Z011,GrannyPLAU_Performance1,
pink_lady,2025-11-26,26/11/2025,3222,hails,,,,,,,,,,,,,O021,PinkLadyPLAU_PerformanceGoodLot,
flat_peaches,2026-01-07,2026-01-16,3288,twin,marks_skin,russets,decay,pests,calyx_major,,,,,,,,G001,PeachPLAU_PerformanceV2,
plums,2026-01-16,2026-01-23,3296,marks_skin,soft,holes,,,,,,,,,,,A002,BluePlumpLAU_Performance,
gala,2026-01-29,2026-03-07,3324,pests,winddamage,sunburn,chemical,browning,sunburn(clean),,,,,,,,P002,BlushPLAU_PerformSundown,
gala,2026-02-12,2026-02-12,ifa,watercore_ifa,,,,,,,,,,,,,,,Without clean fruit so smallest value stay 4
rockit,2026-03-18,2026-03-24,3420,decay_stem,holes_stem,crack_stem,sunburn,,,,,,,,,,C006,MiApplePLAU_Performance,
kanzi,2026-04-10,2026-04-11,3460,holes_stem,stem_average,,,,,,,,,,,,N002,KanziPLAU_PerformanceGoodLot,
kanzi,2026-04-20,2026-05-01,3471,stem_average,,,,,,,,,,,,,N003,KanziPLAU_PerformanceGoodLot,
pink_lady,2026-04-20,2026-05-01,3472,,leaf,,,,,,,,,,,,O022,PinkLadyPLAU_PerformanceGoodLot ,
bravo,2026-04-22,,3480,green,sunburn_major,hails_major,cuts,san_jose,decay,crack_calyx,leaf,stem buds,,,,,,,
gala,2026-05-12,,3502,leaf,major,,,,,,,,,,,,,,
granny_smith,2026-05-12,2026-05-13,ifa,watercore_ifa,,,,,,,,,,,,,,,
